#Number of jobs: 10
#Number of machines: 10
#Completion time: 78.0

                  machine 0               machine 1               machine 2               machine 3               machine 4               machine 5               machine 6               machine 7               machine 8               machine 9       
  job id    task    start    dur    task    start    dur    task    start    dur    task    start    dur    task    start    dur    task    start    dur    task    start    dur    task    start    dur    task    start    dur    task    start    dur
--------  ------  -------  -----  ------  -------  -----  ------  -------  -----  ------  -------  -----  ------  -------  -----  ------  -------  -----  ------  -------  -----  ------  -------  -----  ------  -------  -----  ------  -------  -----
       0       5       22      3       6       27      3       8       51      5       3       14      2       2       13      1       4       16      4       7       46      5       1        8      5       0        3      2       9       58      1
       1       1       17      0       0        1      2       5       56      3       9       75      3       4       52      3       7       62      1       8       63      5       2       21      3       3       44      5       6       59      3
       2       1       14      0       3       18      5       7       64      5       5       31      0       4       26      5       9       77      1       6       38      5       2       15      2       0       10      1       8       72      5
       3       1       15      2       5       49      3       7       59      5       2       28      5       0        3      0       4       43      0       9       73      2       3       36      3       6       59      0       8       70      2
       4       2       11      3       6       38      0       7       39      5       0        0      4       4       32      1       5       34      4       8       53      4       9       64      1       3       16      5       1        6      0
       5       2       38      1       1       31      5       4       42      0       5       42      2       7       46      3       0       26      5       6       44      2       8       52      4       9       72      3       3       39      3
       6       9       76      2       1        8      1       2       15      5       8       73      2       5       49      3       3       21      5       7       69      4       6       57      1       4       42      0       0        2      1
       7       4       49      0       0       23      4       5       52      0       2       37      1       6       56      2       7       59      3       1       29      1       8       71      4       9       76      2       3       43      3
       8       7       51      5       1       12      5       4       30      1       5       34      1       0        6      5       8       66      3       2       17      3       3       27      2       9       71      1       6       46      2
       9       6       29      1       2       10      2       8       47      1       5       23      2       7       34      0       0        0      4       4       20      2       1        4      4       3       12      1       9       53      4
